Event Type,Name of the Event,Sport,Date,Location
tournament,Triple Double Tournaments (End Of Summer Finale),Basketball,"Sep 13 - 14, 2025","Sacramento, California"
tournament,Bay Area Flight Fall Session #1,Basketball,"Sep 13 - 14, 2025","Walnut Creek, California"
tournament,JJs Coed Tournament,Softball,"Sep 13 - 14, 2025","Watertown, South Dakota"
tournament,2025 MAIG Ball Hockey Tournament,Ball Hockey,"Sep 13 - 14, 2025","Edmonton, Alberta"
tournament,2025 MAIG Ball Hockey Tournament,Ball Hockey,"Sep 13 - 14, 2025","Edmonton, Alberta"
tournament,Lake Forest 11th Annual Pickleball Classic,Pickleball,"Sep 5 - 7, 2025","Lake Saint Louis, Missouri"
tournament,Throwback Sunday,Baseball,"Sep 14, 2025","Long Beach, Ca"
tournament,9/14/25 - BLOCKSPORT SUNDAY SWISH,Basketball,"Sep 14, 2025","Terrell, Texas"
tournament,Storm 14U September 14th 2025 Tournament,Softball,"Sep 14, 2025","Exton, Pennsylvania"
tryout,Paul George Elite 2034 Tryouts,Basketball,"Sep 14 - 21, 2025","Sacramento, California"
league,2025 Fall League Powered by SFP & Marquee Sports and Events,Basketball,"Sep 14 - Oct 19, 2025","North Chesterfield, Virginia"
league,Fall 2025 City of Novato Adult League,Basketball,"Sep 14 - Dec 14, 2025","Novato, California"
league,EOTO Men's League,Basketball,"Sep 18 - Nov 20, 2025","Lawrenceville, Georgia"
tournament,QuickKick 3v3,Soccer,"Sep 20, 2025","Manalapan Township, New Jersey"
tournament,"The September Showdown - 20, 2025",Basketball,"Sep 20, 2025","Manteca, California"
tournament,Westcoast Takeover FALL SHOOTOUT,Basketball,"Sep 20, 2025","Carmichael, California"
tournament,Hardwood Palace (Sep 6-7),Basketball,"Sep 6 - 7, 2025","Rocklin, California"
tournament,Keelhauler Jamboree,Basketball,"Sep 20, 2025","Vallejo, California"
tournament,Bring Her Out 2025,Basketball,"Sep 20 - 21, 2025","Martinez, California"
tournament,Hardwood Palace (Sep 20-21),Basketball,"Sep 20 - 21, 2025","Rocklin, California"
